order_id,partner_id,partner_name,zone,customer_id,karma,aov_band,sku,order_date,rating,review_text,intervention,intervention_date
c01-BathroomCleaning-w1-o0,c01,Ramesh Kumar,Dwarka,c01-w1-o0-c,0.8,medium,Bathroom Cleaning,2026-06-08,2,Missed the corners and left dirt behind.,,
c01-BathroomCleaning-w1-o1,c01,Ramesh Kumar,Dwarka,c01-w1-o1-c,0.8,medium,Bathroom Cleaning,2026-06-08,2,The floor was streaky and still dirty.,,
c01-BathroomCleaning-w1-o2,c01,Ramesh Kumar,Dwarka,c01-w1-o2-c,0.8,medium,Bathroom Cleaning,2026-06-08,2,"Way too expensive, felt overpriced.",,
c01-BathroomCleaning-w1-o3,c01,Ramesh Kumar,Dwarka,c01-w1-o3-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Thorough and professional, every corner sparkling.",,
c01-BathroomCleaning-w1-o4,c01,Ramesh Kumar,Dwarka,c01-w1-o4-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,On time and did a fantastic deep clean.,,
c01-BathroomCleaning-w1-o5,c01,Ramesh Kumar,Dwarka,c01-w1-o5-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Excellent work, will book again.",,
c01-BathroomCleaning-w1-o6,c01,Ramesh Kumar,Dwarka,c01-w1-o6-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Spotless job, the house looks brand new!",,
c01-BathroomCleaning-w1-o7,c01,Ramesh Kumar,Dwarka,c01-w1-o7-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,On time and did a fantastic deep clean.,,
c01-BathroomCleaning-w1-o8,c01,Ramesh Kumar,Dwarka,c01-w1-o8-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,On time and did a fantastic deep clean.,,
c01-BathroomCleaning-w1-o9,c01,Ramesh Kumar,Dwarka,c01-w1-o9-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Very neat and polite, great job.",,
c01-BathroomCleaning-w1-o10,c01,Ramesh Kumar,Dwarka,c01-w1-o10-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Thorough and professional, every corner sparkling.",,
c01-BathroomCleaning-w1-o11,c01,Ramesh Kumar,Dwarka,c01-w1-o11-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Thorough and professional, every corner sparkling.",,
c01-BathroomCleaning-w1-o12,c01,Ramesh Kumar,Dwarka,c01-w1-o12-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,"Spotless job, the house looks brand new!",,
c01-BathroomCleaning-w1-o13,c01,Ramesh Kumar,Dwarka,c01-w1-o13-c,0.8,medium,Bathroom Cleaning,2026-06-08,5,Really pleased — spotless and quick.,,
c01-BathroomCleaning-w2-o0,c01,Ramesh Kumar,Dwarka,c01-w2-o0-c,0.8,medium,Bathroom Cleaning,2026-06-15,2,Missed the corners and left dirt behind.,,
c01-BathroomCleaning-w2-o1,c01,Ramesh Kumar,Dwarka,c01-w2-o1-c,0.8,medium,Bathroom Cleaning,2026-06-15,2,"Hard water stains still there, poorly done.",,
c01-BathroomCleaning-w2-o2,c01,Ramesh Kumar,Dwarka,c01-w2-o2-c,0.8,medium,Bathroom Cleaning,2026-06-15,2,"They missed spots all over the bathroom, tiles still grimy.",,
