order_id,partner_id,partner_name,zone,customer_id,karma,aov_band,sku,order_date,rating,review_text,intervention,intervention_date
p01-HairColoring-w0-o0,p01,Ritu Sharma,North Delhi,p01-w0-o0-c,0.8,medium,Hair Coloring,2026-04-13,2,The colour came out patchy on one side.,,
p01-HairColoring-w0-o1,p01,Ritu Sharma,North Delhi,p01-w0-o1-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o2,p01,Ritu Sharma,North Delhi,p01-w0-o2-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o3,p01,Ritu Sharma,North Delhi,p01-w0-o3-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o4,p01,Ritu Sharma,North Delhi,p01-w0-o4-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o5,p01,Ritu Sharma,North Delhi,p01-w0-o5-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o6,p01,Ritu Sharma,North Delhi,p01-w0-o6-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o7,p01,Ritu Sharma,North Delhi,p01-w0-o7-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o8,p01,Ritu Sharma,North Delhi,p01-w0-o8-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o9,p01,Ritu Sharma,North Delhi,p01-w0-o9-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o10,p01,Ritu Sharma,North Delhi,p01-w0-o10-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o11,p01,Ritu Sharma,North Delhi,p01-w0-o11-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o12,p01,Ritu Sharma,North Delhi,p01-w0-o12-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o13,p01,Ritu Sharma,North Delhi,p01-w0-o13-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o14,p01,Ritu Sharma,North Delhi,p01-w0-o14-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w0-o15,p01,Ritu Sharma,North Delhi,p01-w0-o15-c,0.8,medium,Hair Coloring,2026-04-13,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o0,p01,Ritu Sharma,North Delhi,p01-w1-o0-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o1,p01,Ritu Sharma,North Delhi,p01-w1-o1-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o2,p01,Ritu Sharma,North Delhi,p01-w1-o2-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o3,p01,Ritu Sharma,North Delhi,p01-w1-o3-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o4,p01,Ritu Sharma,North Delhi,p01-w1-o4-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o5,p01,Ritu Sharma,North Delhi,p01-w1-o5-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o6,p01,Ritu Sharma,North Delhi,p01-w1-o6-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o7,p01,Ritu Sharma,North Delhi,p01-w1-o7-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o8,p01,Ritu Sharma,North Delhi,p01-w1-o8-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o9,p01,Ritu Sharma,North Delhi,p01-w1-o9-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o10,p01,Ritu Sharma,North Delhi,p01-w1-o10-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
p01-HairColoring-w1-o11,p01,Ritu Sharma,North Delhi,p01-w1-o11-c,0.8,medium,Hair Coloring,2026-04-20,5,"Great job, very happy with the service.",,
